[1509886888.100283],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.101776],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.102464],log level:0,thread name:temp ,temp:is alive
[1509886888.103100],log level:0,thread name:decision ,decision:is alive
[1509886888.104003],log level:0,thread name:log ,log:is alive
[1509886888.108364],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.108959],log level:0,thread name:light ,light:is alive
[1509886888.114454],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.115407],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.116416],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.116995],log level:0,thread name:temp ,temp:is alive
[1509886888.117653],log level:0,thread name:decision ,decision:is alive
[1509886888.118207],log level:0,thread name:log ,log:is alive
[1509886888.123321],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.124377],log level:0,thread name:light ,light:is alive
[1509886888.128738],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.129812],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.130832],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.131772],log level:0,thread name:temp ,temp:is alive
[1509886888.132601],log level:0,thread name:decision ,decision:is alive
[1509886888.133036],log level:0,thread name:log ,log:is alive
[1509886888.136672],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.137999],log level:0,thread name:light ,light:is alive
[1509886888.141922],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.142961],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.144125],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.144374],log level:0,thread name:temp ,temp:is alive
[1509886888.145000],log level:0,thread name:decision ,decision:is alive
[1509886888.145575],log level:0,thread name:log ,log:is alive
[1509886888.148663],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.149727],log level:0,thread name:light ,light:is alive
[1509886888.153735],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.154407],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.156027],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.156266],log level:0,thread name:temp ,temp:is alive
[1509886888.157392],log level:0,thread name:decision ,decision:is alive
[1509886888.157583],log level:0,thread name:log ,log:is alive
[1509886888.163996],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
